"LOINC"	"MAP_TO"	"COMMENT"
"19745-9"	"7312-2"	
"19750-9"	"11190-6"	
"19770-7"	"19763-2"	
"19818-4"	"55109-3"	
"19944-8"	"19927-3"	
"19948-9"	"59405-1"	
"19950-5"	"59406-9"	
"19952-1"	"59407-7"	
"19954-7"	"59418-4"	
"19956-2"	"59408-5"	
"19958-8"	"59409-3"	
"19960-4"	"59410-1"	
"19962-0"	"59411-9"	
"19964-6"	"59413-5"	
"19966-1"	"59414-3"	
"19968-7"	"59415-0"	
"19970-3"	"59416-8"	
"19975-2"	"19976-0"	
"19977-8"	"19978-6"	
"2003-2"	"2004-0"	
"2003-2"	"29276-3"	
"20032-9"	"20033-7"	
"20034-5"	"20035-2"	
"20036-0"	"20037-8"	
"20038-6"	"20039-4"	
"20040-2"	"20041-0"	
"20042-8"	"20043-6"	
"20044-4"	"20045-1"	
"20046-9"	"20047-7"	
"20048-5"	"20049-3"	
"20050-1"	"20051-9"	
"2008-1"	"2009-9"	
"2010-7"	"2009-9"	
"20169-9"	"20168-1"	
"20243-2"	"18083-6"	
"20244-0"	"18085-1"	
"20246-5"	"18068-7"	
"20253-1"	"18166-9"	
"20275-4"	"18001-8"	
"20279-6"	"18098-4"	
"20285-3"	"18068-7"	
"20406-5"	"5792-7"	
"20422-2"	"1825-9"	
"20480-0"	"8189-3"	
"20481-8"	"8216-4"	
"20492-5"	"13514-5"	
"20494-1"	"13941-0"	
"20514-6"	"19593-3"	
"20524-5"	"14313-1"	
"20531-0"	"20500-5"	
"20534-4"	"20501-3"	
"20539-3"	"20538-5"	
"20577-3"	"2885-2"	
"20605-2"	"32515-9"	
"20606-0"	"32516-7"	
"20613-6"	"32517-5"	
"20614-4"	"32518-3"	
"20653-2"	"14875-9"	
"20684-7"	"22763-7"	
"20691-2"	"11469-4"	
"20707-6"	"15461-7"	
"20743-1"	"15465-8"	
"20744-9"	"15464-1"	
"20810-8"	"7877-4"	
"20820-7"	"20818-1"	
"20834-8"	"16941-7"	
"2086-7"	"2085-9"	
"2088-3"	"2087-5"	
"2090-9"	"2089-1"	
"2092-5"	"2091-7"	
"20941-1"	"2777-1"	
"20954-4"	"17563-8"	
"20993-2"	"4993-2"	
"20997-3"	"566-0"	
"21009-6"	"13499-9"	
"21040-1"	"13678-8"	
"21050-0"	"10975-1"	
"21083-1"	"15548-1"	
"21114-4"	"26446-5"	
"21149-0"	"19733-5"	
"21153-2"	"20587-2"	
"21155-7"	"20588-0"	
"21156-5"	"20589-8"	
"21157-3"	"20593-0"	
"21158-1"	"20595-5"	
"21159-9"	"19078-5"	
"21160-7"	"20599-7"	
"21161-5"	"20601-1"	
"21162-3"	"20602-9"	
"21163-1"	"20603-7"	
"21164-9"	"32516-7"	
"21165-6"	"20611-0"	
"21168-0"	"20612-8"	
"21170-6"	"32518-3"	
"21177-1"	"21654-9"	
"21244-9"	"16366-7"	
"21256-3"	"15595-2"	
"21257-1"	"15595-2"	
"21317-3"	"7110-0"	
"21318-1"	"15552-3"	
"21325-6"	"15768-5"	
"21392-6"	"15849-3"	
"21427-0"	"15885-7"	
"21455-1"	"15853-5"	
"2146-9"	"2145-1"	
"21477-5"	"6220-8"	
"21478-3"	"15957-4"	
"21504-6"	"21505-3"	
"21549-1"	"15761-0"	
"21616-8"	"20990-8"	
"21650-7"	"21207-6"	
"2167-5"	"11043-7"	
"2167-5"	"5117-7"	
"2170-9"	"2132-9"	
"21745-5"	"21095-5"	
"21761-2"	"21760-4"	
"21811-5"	"21551-7"	
"2205-3"	"1705-3"	
"22065-7"	"3545-1"	
"22076-4"	"21651-5"	
"22145-7"	"22144-0"	
"22165-5"	"22164-8"	
"22242-2"	"22241-4"	
"22262-0"	"22257-0"	
"22311-5"	"16533-2"	
"2231-9"	"2230-1"	
"22332-1"	"7908-7"	
"22335-4"	"7911-1"	
"22336-2"	"17851-7"	
"22372-7"	"44747-4"	
"22372-7"	"5073-2"	
"22374-3"	"17038-1"	
"22376-8"	"17039-9"	
"22407-1"	"6457-6"	
"2242-6"	"2240-0"	
"22433-7"	"22432-9"	
"2244-2"	"2238-4"	
"22508-6"	"20806-6"	
"22528-4"	"13285-2"	
"22530-0"	"13284-5"	
"22544-1"	"13155-7"	
"22546-6"	"13156-5"	
"22553-2"	"13147-4"	
"22554-0"	"13148-2"	
"22559-9"	"13151-6"	
"22561-5"	"13152-4"	
"22569-8"	"8034-1"	
